feature,psi_fit_vs_validation,psi_fit_vs_test
V3_TE_OCCUPATION_TYPE,4.148255,4.243827
V3_ANNUITY_CREDIT_RATIO,0.009562,1.454092
V3_EXT_MEAN_X_CREDIT_BURDEN,0.013922,0.099076
V3_GOODS_CREDIT_RATIO,0.00232,0.080096
APP_GOODS_CREDIT_RATIO,0.00232,0.080096
AMT_GOODS_PRICE,0.003665,0.077066
BUREAU_DEBT_CREDIT_RATIO_MEAN,0.011398,0.037728
AMT_ANNUITY,0.005603,0.036643
V3_EXT_SOURCE_MIN,0.026896,0.020841
V3_EXT_SOURCE_MEAN,0.030553,0.014776
V3_EXT_SOURCE_1_x_EXT_SOURCE_3,0.045272,0.012359
EXT_SOURCE_3,0.02521,0.011229
EXT_SOURCE_2,0.007705,0.010492
V3_EXT_SOURCE_2_x_EXT_SOURCE_3,0.021373,0.01019
EXT_SOURCE_1,0.035428,0.008812
V3_BUR_RECENT3_BUR_DEBT_CREDIT_RATIO_max,0.010392,0.008116
V3_EXT_SOURCE_1_x_EXT_SOURCE_2,0.028195,0.00734
ORGANIZATION_TYPE,0.04663,0.007317
APP_AGE_YEARS,0.124962,0.005199
DAYS_BIRTH,0.124946,0.005189
V3_EMPLOYED_YEARS,0.047209,0.005106
APP_EMPLOYED_YEARS,0.047209,0.005106
DAYS_EMPLOYED,0.0472,0.005095
BUREAU_DEBT_CREDIT_RATIO_MAX,0.012482,0.005044
V3_BUR_ALL_BUR_DEBT_CREDIT_RATIO_max,0.012482,0.005044
V3_EMPLOYED_AGE_RATIO,0.021845,0.004715
V3_EXT_SOURCE_MAX,0.020087,0.004292
V3_INST_LATE_RECENCY_WEIGHTED,0.000927,0.004206
V3_EXT_MIN_X_ANNUITY_BURDEN,0.020475,0.004114
OCCUPATION_TYPE,0.02241,0.003083
