column,missing_count,missing_pct,default_rate_when_MISSING,default_rate_when_NOT_MISSING,diff_pp,signal
COMMONAREA_MEDI,214865,69.87,8.57,6.91,1.66,⚠️ SIGNAL
COMMONAREA_MODE,214865,69.87,8.57,6.91,1.66,⚠️ SIGNAL
COMMONAREA_AVG,214865,69.87,8.57,6.91,1.66,⚠️ SIGNAL
NONLIVINGAPARTMENTS_MODE,213514,69.43,8.58,6.91,1.67,⚠️ SIGNAL
NONLIVINGAPARTMENTS_MEDI,213514,69.43,8.58,6.91,1.67,⚠️ SIGNAL
NONLIVINGAPARTMENTS_AVG,213514,69.43,8.58,6.91,1.67,⚠️ SIGNAL
FONDKAPREMONT_MODE,210295,68.39,8.62,6.89,1.73,⚠️ SIGNAL
LIVINGAPARTMENTS_AVG,210199,68.35,8.62,6.89,1.73,⚠️ SIGNAL
LIVINGAPARTMENTS_MEDI,210199,68.35,8.62,6.89,1.73,⚠️ SIGNAL
LIVINGAPARTMENTS_MODE,210199,68.35,8.62,6.89,1.73,⚠️ SIGNAL
FLOORSMIN_MEDI,208642,67.85,8.63,6.89,1.74,⚠️ SIGNAL
FLOORSMIN_MODE,208642,67.85,8.63,6.89,1.74,⚠️ SIGNAL
FLOORSMIN_AVG,208642,67.85,8.63,6.89,1.74,⚠️ SIGNAL
YEARS_BUILD_MODE,204488,66.5,8.68,6.87,1.81,⚠️ SIGNAL
YEARS_BUILD_MEDI,204488,66.5,8.68,6.87,1.81,⚠️ SIGNAL
YEARS_BUILD_AVG,204488,66.5,8.68,6.87,1.81,⚠️ SIGNAL
OWN_CAR_AGE,202929,65.99,8.5,7.24,1.26,—
LANDAREA_AVG,182590,59.38,8.82,6.98,1.84,⚠️ SIGNAL
LANDAREA_MEDI,182590,59.38,8.82,6.98,1.84,⚠️ SIGNAL
LANDAREA_MODE,182590,59.38,8.82,6.98,1.84,⚠️ SIGNAL
BASEMENTAREA_MODE,179943,58.52,8.91,6.89,2.02,⚠️ SIGNAL
BASEMENTAREA_MEDI,179943,58.52,8.91,6.89,2.02,⚠️ SIGNAL
BASEMENTAREA_AVG,179943,58.52,8.91,6.89,2.02,⚠️ SIGNAL
EXT_SOURCE_1,173378,56.38,8.52,7.5,1.02,—
NONLIVINGAREA_MEDI,169682,55.18,9.03,6.89,2.15,⚠️ SIGNAL
NONLIVINGAREA_AVG,169682,55.18,9.03,6.89,2.15,⚠️ SIGNAL
NONLIVINGAREA_MODE,169682,55.18,9.03,6.89,2.15,⚠️ SIGNAL
ELEVATORS_MEDI,163891,53.3,9.1,6.9,2.2,⚠️ SIGNAL
ELEVATORS_MODE,163891,53.3,9.1,6.9,2.2,⚠️ SIGNAL
ELEVATORS_AVG,163891,53.3,9.1,6.9,2.2,⚠️ SIGNAL
WALLSMATERIAL_MODE,156341,50.84,9.13,6.98,2.15,⚠️ SIGNAL
APARTMENTS_AVG,156061,50.75,9.15,6.96,2.19,⚠️ SIGNAL
APARTMENTS_MEDI,156061,50.75,9.15,6.96,2.19,⚠️ SIGNAL
APARTMENTS_MODE,156061,50.75,9.15,6.96,2.19,⚠️ SIGNAL
ENTRANCES_MODE,154828,50.35,9.18,6.95,2.23,⚠️ SIGNAL
ENTRANCES_MEDI,154828,50.35,9.18,6.95,2.23,⚠️ SIGNAL
ENTRANCES_AVG,154828,50.35,9.18,6.95,2.23,⚠️ SIGNAL
LIVINGAREA_AVG,154350,50.19,9.14,7.0,2.15,⚠️ SIGNAL
LIVINGAREA_MODE,154350,50.19,9.14,7.0,2.15,⚠️ SIGNAL
LIVINGAREA_MEDI,154350,50.19,9.14,7.0,2.15,⚠️ SIGNAL
HOUSETYPE_MODE,154297,50.18,9.15,6.99,2.16,⚠️ SIGNAL
FLOORSMAX_AVG,153020,49.76,9.19,6.97,2.23,⚠️ SIGNAL
FLOORSMAX_MEDI,153020,49.76,9.19,6.97,2.23,⚠️ SIGNAL
FLOORSMAX_MODE,153020,49.76,9.19,6.97,2.23,⚠️ SIGNAL
YEARS_BEGINEXPLUATATION_MODE,150007,48.78,9.2,6.99,2.21,⚠️ SIGNAL
YEARS_BEGINEXPLUATATION_MEDI,150007,48.78,9.2,6.99,2.21,⚠️ SIGNAL
YEARS_BEGINEXPLUATATION_AVG,150007,48.78,9.2,6.99,2.21,⚠️ SIGNAL
TOTALAREA_MODE,148431,48.27,9.23,6.99,2.24,⚠️ SIGNAL
EMERGENCYSTATE_MODE,145755,47.4,9.26,7.0,2.26,⚠️ SIGNAL
OCCUPATION_TYPE,96391,31.35,6.51,8.79,-2.27,⚠️ SIGNAL
EXT_SOURCE_3,60965,19.83,9.31,7.77,1.55,⚠️ SIGNAL
AMT_REQ_CREDIT_BUREAU_WEEK,41519,13.5,10.34,7.72,2.62,⚠️ SIGNAL
AMT_REQ_CREDIT_BUREAU_MON,41519,13.5,10.34,7.72,2.62,⚠️ SIGNAL
AMT_REQ_CREDIT_BUREAU_HOUR,41519,13.5,10.34,7.72,2.62,⚠️ SIGNAL
AMT_REQ_CREDIT_BUREAU_YEAR,41519,13.5,10.34,7.72,2.62,⚠️ SIGNAL
AMT_REQ_CREDIT_BUREAU_QRT,41519,13.5,10.34,7.72,2.62,⚠️ SIGNAL
AMT_REQ_CREDIT_BUREAU_DAY,41519,13.5,10.34,7.72,2.62,⚠️ SIGNAL
NAME_TYPE_SUITE,1292,0.42,5.42,8.08,-2.67,⚠️ SIGNAL
DEF_30_CNT_SOCIAL_CIRCLE,1021,0.33,3.53,8.09,-4.56,⚠️ SIGNAL
DEF_60_CNT_SOCIAL_CIRCLE,1021,0.33,3.53,8.09,-4.56,⚠️ SIGNAL
OBS_30_CNT_SOCIAL_CIRCLE,1021,0.33,3.53,8.09,-4.56,⚠️ SIGNAL
OBS_60_CNT_SOCIAL_CIRCLE,1021,0.33,3.53,8.09,-4.56,⚠️ SIGNAL
EXT_SOURCE_2,660,0.21,7.88,8.07,-0.19,—
AMT_GOODS_PRICE,278,0.09,7.55,8.07,-0.52,—
AMT_ANNUITY,12,0.0,0.0,8.07,-8.07,⚠️ SIGNAL
CNT_FAM_MEMBERS,2,0.0,0.0,8.07,-8.07,⚠️ SIGNAL
DAYS_LAST_PHONE_CHANGE,1,0.0,0.0,8.07,-8.07,⚠️ SIGNAL
