column,type,psi,level
NAME_CONTRACT_TYPE,categorical,0.2111,MODERATE
AMT_GOODS_PRICE,numeric,0.083,LOW
AMT_CREDIT,numeric,0.0692,LOW
DAYS_ID_PUBLISH,numeric,0.0671,LOW
DAYS_LAST_PHONE_CHANGE,numeric,0.0518,LOW
AMT_ANNUITY,numeric,0.0326,LOW
NAME_TYPE_SUITE,categorical,0.0251,LOW
AMT_INCOME_TOTAL,numeric,0.0201,LOW
OWN_CAR_AGE,numeric,0.0167,LOW
EXT_SOURCE_2,numeric,0.01,LOW
DAYS_EMPLOYED,numeric,0.0087,LOW
EXT_SOURCE_3,numeric,0.0064,LOW
ORGANIZATION_TYPE,categorical,0.0055,LOW
EXT_SOURCE_1,numeric,0.0053,LOW
REGION_POPULATION_RELATIVE,numeric,0.0039,LOW
NAME_FAMILY_STATUS,categorical,0.0034,LOW
OCCUPATION_TYPE,categorical,0.002,LOW
NAME_EDUCATION_TYPE,categorical,0.0018,LOW
DAYS_REGISTRATION,numeric,0.0015,LOW
NAME_INCOME_TYPE,categorical,0.0012,LOW
NAME_HOUSING_TYPE,categorical,0.001,LOW
CODE_GENDER,categorical,0.0008,LOW
DAYS_BIRTH,numeric,0.0008,LOW
CNT_CHILDREN,numeric,0.0006,LOW
CNT_FAM_MEMBERS,numeric,0.0006,LOW
DEF_30_CNT_SOCIAL_CIRCLE,numeric,0.0,LOW
FLAG_OWN_CAR,categorical,0.0,LOW
FLAG_OWN_REALTY,categorical,0.0,LOW
DEF_60_CNT_SOCIAL_CIRCLE,numeric,,LOW
