feature,source_group,count,missing,missing_pct,mean,standard_error,median,mode,std,variance,kurtosis,skewness,range,min,max,sum,confidence_level_95,q1,q3,iqr
CNT_CHILDREN,application_raw,307511,0,0.0,0.4170517477423572,0.0013022065584917019,0.0,0.0,0.7221213844376252,0.5214592938621124,7.904106358518466,1.974604469694792,19.0,0.0,19.0,128248.0,0.0025523248546437355,0.0,1.0,1.0
AMT_INCOME_TOTAL,application_raw,307511,0,0.0,168797.9192969845,427.60583318687964,147150.0,135000.0,237123.1462788562,56227386501.18384,191786.55438080418,391.55965410418776,116974350.0,25650.0,117000000.0,51907216960.935,838.1074330462841,112500.0,202500.0,90000.0
AMT_CREDIT,application_raw,307511,0,0.0,599025.9997057016,725.8144417708984,513531.0,450000.0,402490.7769958549,161998825566.72702,1.934041300832492,1.2347784971349396,4005000.0,45000.0,4050000.0,184207084195.5,1422.5963058709608,270000.0,808650.0,538650.0
AMT_ANNUITY,application_raw,307499,12,3.9022994299390916e-05,27108.573909183444,26.137168159271933,24903.0,9000.0,14493.737315118335,210068421.35965362,7.707319914804307,1.5797773638612502,256410.0,1615.5,258025.5,8335859368.5,51.22884959217299,16524.0,34596.0,18072.0
AMT_GOODS_PRICE,application_raw,307233,278,0.0009040327012692228,538396.2074288895,666.5267431974869,450000.0,450000.0,369446.46054005757,136490687205.5763,2.4319164792167,1.349000341474745,4009500.0,40500.0,4050000.0,165413081997.0,1306.3924166670743,238500.0,679500.0,441000.0
REGION_POPULATION_RELATIVE,application_raw,307511,0,0.0,0.020868112057780035,2.494204447656505e-05,0.01885,0.035792,0.013831280122704704,0.00019130430983272626,3.2600653343110464,1.4880085207077653,0.072218,0.00029,0.072508,6417.174006999997,4.888640717406749e-05,0.010006,0.028663,0.018657
DAYS_BIRTH,application_raw,307511,0,0.0,-16036.995066843137,7.869611314613063,-15750.0,-13749.0,4363.98863178556,19044396.7783536,-1.0491257699460343,-0.11567331170166133,17740.0,-25229.0,-7489.0,-4931552390.0,15.424438176641603,-19682.0,-12413.0,7269.0
DAYS_EMPLOYED,application_raw,252137,55374,0.18007160719453938,-2384.1693246132063,4.656859260378319,-1648.0,-200.0,2338.36016203967,5467928.247414191,4.752651548074542,-1.9683155310704772,17912.0,-17912.0,0.0,-601137301.0,9.127444150341505,-3175.0,-767.0,2408.0
DAYS_REGISTRATION,application_raw,307511,0,0.0,-4986.120327538418,6.3528456168785175,-4504.0,-1.0,3522.8863209630713,12410728.030428724,-0.3213466019399345,-0.5908716157350037,24672.0,-24672.0,0.0,-1533286848.0416665,12.451577409081894,-7479.5,-2010.0,5469.5
DAYS_ID_PUBLISH,application_raw,307511,0,0.0,-2994.2023732484367,2.722002529913402,-3254.0,-4053.0,1509.4504190030232,2278440.567428402,-1.1068078939970984,0.34932749320299783,7197.0,-7197.0,0.0,-920750166.0,5.335124958630267,-4299.0,-1720.0,2579.0
OWN_CAR_AGE,application_raw,104582,202929,0.6599081008484249,12.061090818687727,0.03693608254529985,9.0,7.0,11.944811582242762,142.67852373528083,9.214945323055364,2.7454221308684565,91.0,0.0,91.0,1261373.0,0.0723947217887877,5.0,15.0,10.0
FLAG_MOBIL,application_raw,307511,0,0.0,0.9999967480838083,3.2519161916159095e-06,1.0,1.0,0.001803307015351493,3.25191619161591e-06,307510.99999999994,-554.5367435977528,1.0,0.0,1.0,307510.0,6.3737557355671825e-06,1.0,1.0,0.0
FLAG_EMP_PHONE,application_raw,307511,0,0.0,0.8198893698111612,0.000692975178606941,1.0,1.0,0.3842801989387643,0.14767127129641627,0.7718519498767713,-1.6648864615712877,1.0,0.0,1.0,252125.0,0.0013582313500696043,1.0,1.0,0.0
FLAG_WORK_PHONE,application_raw,307511,0,0.0,0.1993684778755882,0.0007204684500402245,0.0,0.0,0.3995262281502265,0.1596212069799468,0.26487590674521,1.5049498942087771,1.0,0.0,1.0,61308.0,0.0014121181620788401,0.0,0.0,0.0
FLAG_CONT_MOBILE,application_raw,307511,0,0.0,0.9981334001060125,7.783775311693753e-05,1.0,1.0,0.04316389414243239,0.0018631217575391088,530.7439687146295,-23.081172345547355,1.0,0.0,1.0,306937.0,0.00015256199610919755,1.0,1.0,0.0
FLAG_PHONE,application_raw,307511,0,0.0,0.28106636835755466,0.0008106235556914318,0.0,0.0,0.44952054685675835,0.20206872204639909,-1.0511700633774763,0.9740825289977859,1.0,0.0,1.0,86431.0,0.0015888221691552063,0.0,1.0,1.0
FLAG_EMAIL,application_raw,307511,0,0.0,0.0567199222141647,0.000417117607432145,0.0,0.0,0.23130703972270758,0.053502946625282224,12.690846001751169,3.8328531752022883,1.0,0.0,1.0,17442.0,0.0008175505105670042,0.0,0.0,0.0
CNT_FAM_MEMBERS,application_raw,307509,2,6.503832383231819e-06,2.152665450442101,0.001642243802900229,2.0,2.0,0.9106815691792971,0.8293409204428669,2.8019769805254704,0.9875428137192184,19.0,1.0,20.0,661964.0,0.003218797853684449,2.0,3.0,1.0
REGION_RATING_CLIENT,application_raw,307511,0,0.0,2.0524631639193394,0.0009179444079992656,2.0,2.0,0.50903390281568,0.25911551421576307,0.800416437469937,0.08746834970932345,2.0,1.0,3.0,631155.0,0.0017991710396785606,2.0,2.0,0.0
REGION_RATING_CLIENT_W_CITY,application_raw,307511,0,0.0,2.031520823645333,0.0009065892183321967,2.0,2.0,0.5027370329147687,0.25274452426394517,0.9335838303405777,0.059729812149467286,2.0,1.0,3.0,624715.0,0.0017769148679311056,2.0,2.0,0.0
HOUR_APPR_PROCESS_START,application_raw,307511,0,0.0,12.063418869568894,0.005889298217192301,12.0,10.0,3.265832255437871,10.66566032065841,-0.1941728655304189,-0.02802445946067512,23.0,0.0,23.0,3709634.0,0.011543024505696909,10.0,14.0,4.0
REG_REGION_NOT_LIVE_REGION,application_raw,307511,0,0.0,0.015144173704355291,0.0002202315314397625,0.0,0.0,0.12212647628215205,0.014914876209095047,61.04838402089024,7.940276252906794,1.0,0.0,1.0,4657.0,0.00043165380162193446,0.0,0.0,0.0
REG_REGION_NOT_WORK_REGION,application_raw,307511,0,0.0,0.05076891558350758,0.00039587246712040986,0.0,0.0,0.21952582879696064,0.04819158950899248,14.750835586389943,4.092766747503462,1.0,0.0,1.0,15612.0,0.0007759100355560033,0.0,0.0,0.0
