feature,n_categories,chi2,dof,p_value,cramers_v,significant_0_05
OCCUPATION_TYPE,19,1975.08,18,0.0,0.07978,True
ORGANIZATION_TYPE,58,1609.24,57,5.224541090300173e-299,0.07105,True
NAME_INCOME_TYPE,8,1253.47,7,1.9281456056861122e-266,0.06367,True
NAME_EDUCATION_TYPE,5,1019.21,4,2.4476812052198174e-219,0.05746,True
CODE_GENDER,3,920.79,2,1.1290217848908289e-200,0.05466,True
WALLSMATERIAL_MODE,8,599.04,7,3.9168421872326693e-125,0.04388,True
EMERGENCYSTATE_MODE,3,547.98,2,1.0198212313643335e-119,0.04214,True
HOUSETYPE_MODE,4,509.41,3,4.3693096011918614e-110,0.04058,True
NAME_FAMILY_STATUS,6,504.69,5,7.744841561414037e-107,0.04031,True
NAME_HOUSING_TYPE,6,420.56,5,1.0990890032617707e-88,0.03676,True
NAME_CONTRACT_TYPE,2,293.54,1,8.432004662710373e-66,0.03084,True
FONDKAPREMONT_MODE,5,281.72,4,9.504317433236526e-60,0.03005,True
FLAG_OWN_CAR,2,146.83,1,8.56891055540631e-34,0.02178,True
NAME_TYPE_SUITE,8,45.19,7,1.2562030207008644e-07,0.01114,True
FLAG_OWN_REALTY,2,11.62,1,0.0006508043252170526,0.00588,True
WEEKDAY_APPR_PROCESS_START,7,15.39,6,0.01744736931389504,0.00553,True
