feature_order,feature,source_group,feature_flow_stage,dtype,is_numeric,rows_total,count_non_missing,missing_count,missing_pct,n_unique,mode,mode_freq,mode_pct,n_zeros,zero_pct,sum,mean,standard_error,median,std,sample_variance,confidence_level_95,min,p1,p5,q1_25,q2_50,q3_75,p95,p99,max,range,iqr,skewness,kurtosis,outlier_count_iqr,outlier_pct_iqr,target_pearson_corr,target_spearman_corr,target_corr_n_used
1,SK_ID_CURR,Raw application column from application_train.csv,00 Raw application,int64,True,307511,307511,0,0.0,307511,100002,1,0.00032519161916159093,0.0,0.0,85543569448.0,278180.51857657125,185.36224431502413,278202.0,102790.17534842459,10565820148.159872,363.3099988574473,100002.0,103590.2,117945.5,189145.5,278202.0,367142.5,438427.5,452712.9,456255.0,356253.0,177997.0,-0.0012002350768208576,-1.1989877778996432,0.0,0.0,-0.0021084690181977206,-0.0021108958524961702,307511.0
2,TARGET,Raw application column from application_train.csv,00 Raw application,float64,True,307511,307511,0,0.0,2,0.0,282686,91.92711805431351,282686.0,91.92711805431351,24825.0,0.08072881945686496,0.0004912544548103013,0.0,0.27241864564839396,0.07421191849690523,0.0009628587314281904,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0781586659196676,7.475109389392572,24825.0,8.072881945686495,,,
3,NAME_CONTRACT_TYPE,Raw application column from application_train.csv,00 Raw application,str,False,307511,307511,0,0.0,2,Cash loans,278232,90.47871458256778,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CODE_GENDER,Raw application column from application_train.csv,00 Raw application,str,False,307511,307507,4,0.0013007664766463637,2,F,202448,65.83524927887821,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,FLAG_OWN_CAR,Raw application column from application_train.csv,00 Raw application,str,False,307511,307511,0,0.0,2,N,202924,65.98918412674668,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,FLAG_OWN_REALTY,Raw application column from application_train.csv,00 Raw application,str,False,307511,307511,0,0.0,2,Y,213312,69.3672746665973,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CNT_CHILDREN,Raw application column from application_train.csv,00 Raw application,int64,True,307511,307511,0,0.0,15,0,215371,70.03684421045101,215371.0,70.03684421045101,128248.0,0.4170517477423572,0.0013022065584917019,0.0,0.7221213844376252,0.5214592938621124,0.0025523248546437355,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,19.0,19.0,1.0,1.974604469694792,7.904106358518466,4272.0,1.3892185970583166,0.019187133596270115,0.020074461250680305,307511.0
8,AMT_INCOME_TOTAL,Raw application column from application_train.csv,00 Raw application,float64,True,307511,307511,0,0.0,2548,135000.0,35750,11.625600385026877,0.0,0.0,51907216960.935,168797.9192969845,427.60583318687964,147150.0,237123.1462788562,56227386501.18384,838.1074330462841,25650.0,45000.0,67500.0,112500.0,147150.0,202500.0,337500.0,472500.0,117000000.0,116974350.0,90000.0,391.55965410418776,191786.55438080418,14035.0,4.564064374932929,-0.003981865601205655,-0.018103806798277913,307511.0
9,AMT_CREDIT,Raw application column from application_train.csv,00 Raw application,float64,True,307511,307511,0,0.0,5603,450000.0,9709,3.1572854304398863,0.0,0.0,184207084195.5,599025.9997057016,725.8144417708984,513531.0,402490.7769958549,161998825566.72702,1422.5963058709608,45000.0,76410.0,135000.0,270000.0,513531.0,808650.0,1350000.0,1854000.0,4050000.0,4005000.0,538650.0,1.2347784971349396,1.934041300832492,6562.0,2.13390740493836,-0.030369286461429758,-0.017537101039505464,307511.0
10,AMT_ANNUITY,Raw application column from application_train.csv,00 Raw application,float64,True,307511,307499,12,0.003902299429939092,13672,9000.0,6385,2.0764295168439575,0.0,0.0,8335859368.5,27108.573909183444,26.137168159271933,24903.0,14493.737315118335,210068421.35965362,51.22884959217299,1615.5,6182.91,9000.0,16524.0,24903.0,34596.0,53325.0,70006.5,258025.5,256410.0,18072.0,1.5797773638612502,7.707319914804307,7504.0,2.440333139294762,-0.012816561515413587,-7.333566314029207e-05,307499.0
11,AMT_GOODS_PRICE,Raw application column from application_train.csv,00 Raw application,float64,True,307511,307233,278,0.09040327012692229,1002,450000.0,26022,8.469793283924579,0.0,0.0,165413081997.0,538396.2074288895,666.5267431974869,450000.0,369446.46054005757,136490687205.5763,1306.3924166670743,40500.0,67500.0,135000.0,238500.0,450000.0,679500.0,1305000.0,1800000.0,4050000.0,4009500.0,441000.0,1.349000341474745,2.4319164792167,14728.0,4.7937558790885095,-0.03964528116954427,-0.031492973514466546,307233.0
12,NAME_TYPE_SUITE,Raw application column from application_train.csv,00 Raw application,str,False,307511,306219,1292,0.42014757195677555,7,Unaccompanied,248526,81.15956227405876,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,NAME_INCOME_TYPE,Raw application column from application_train.csv,00 Raw application,str,False,307511,307511,0,0.0,8,Working,158774,51.63197414076245,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,NAME_EDUCATION_TYPE,Raw application column from application_train.csv,00 Raw application,str,False,307511,307511,0,0.0,5,Secondary / secondary special,218391,71.01892290031901,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,NAME_FAMILY_STATUS,Raw application column from application_train.csv,00 Raw application,str,False,307511,307511,0,0.0,6,Married,196432,63.87804013514964,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,NAME_HOUSING_TYPE,Raw application column from application_train.csv,00 Raw application,str,False,307511,307511,0,0.0,6,House / apartment,272868,88.73438673738501,,,,,,,,,,,,,,,,,,,,,,,,,,,
