variable,count,mean,standard_error,median,mode,std,variance,kurtosis,skewness,range,minimum,maximum,sum,confidence_level_95
SK_ID_CURR,307511,278180.51857657125,185.36224431502413,278202.0,100002.0,102790.17534842459,10565820148.159872,-1.1989877778996432,-0.0012002350768208576,356253.0,100002.0,456255.0,85543569448.0,363.3099988574473
TARGET,307511,0.08072881945686496,0.0004912544548103013,0.0,0.0,0.27241864564839396,0.07421191849690523,7.475109389392572,3.0781586659196676,1.0,0.0,1.0,24825.0,0.0009628587314281905
CNT_CHILDREN,307511,0.4170517477423572,0.0013022065584917019,0.0,0.0,0.7221213844376252,0.5214592938621124,7.904106358518466,1.974604469694792,19.0,0.0,19.0,128248.0,0.0025523248546437355
AMT_INCOME_TOTAL,307511,168797.9192969845,427.60583318687964,147150.0,135000.0,237123.1462788562,56227386501.18384,191786.55438080418,391.55965410418776,116974350.0,25650.0,117000000.0,51907216960.935,838.1074330462841
AMT_CREDIT,307511,599025.9997057016,725.8144417708984,513531.0,450000.0,402490.7769958549,161998825566.72702,1.934041300832492,1.2347784971349396,4005000.0,45000.0,4050000.0,184207084195.5,1422.5963058709608
AMT_ANNUITY,307499,27108.573909183444,26.137168159271933,24903.0,9000.0,14493.737315118335,210068421.35965362,7.707319914804307,1.5797773638612502,256410.0,1615.5,258025.5,8335859368.5,51.22884959217299
AMT_GOODS_PRICE,307233,538396.2074288895,666.5267431974869,450000.0,450000.0,369446.46054005757,136490687205.5763,2.4319164792167,1.349000341474745,4009500.0,40500.0,4050000.0,165413081997.0,1306.3924166670743
REGION_POPULATION_RELATIVE,307511,0.020868112057780046,2.494204447656504e-05,0.01885,0.035792,0.013831280122704698,0.0001913043098327261,3.260065334311051,1.4880085207077667,0.072218,0.00029,0.072508,6417.174007,4.888640717406747e-05
DAYS_BIRTH,307511,-16036.995066843137,7.869611314613063,-15750.0,-13749.0,4363.98863178556,19044396.7783536,-1.0491257699460343,-0.11567331170166133,17740.0,-25229.0,-7489.0,-4931552390.0,15.424438176641603
DAYS_EMPLOYED,307511,63815.04590404896,254.76358086238037,-1213.0,365243.0,141275.76651872724,19958842205.45393,0.7716123806586128,1.6643461980685421,383155.0,-17912.0,365243.0,19623828581.0,499.3366184902655
DAYS_REGISTRATION,307511,-4986.120327539503,6.352845616881363,-4504.0,-1.0,3522.8863209646497,12410728.030439846,-0.3213466019416624,-0.5908716157352429,24672.0,-24672.0,0.0,-1533286848.042,12.451577409087472
DAYS_ID_PUBLISH,307511,-2994.2023732484367,2.722002529913402,-3254.0,-4053.0,1509.4504190030232,2278440.567428402,-1.1068078939970984,0.34932749320299783,7197.0,-7197.0,0.0,-920750166.0,5.335124958630267
OWN_CAR_AGE,104582,12.061090818687727,0.03693608254529985,9.0,7.0,11.944811582242762,142.67852373528083,9.214945323055364,2.7454221308684565,91.0,0.0,91.0,1261373.0,0.0723947217887877
FLAG_MOBIL,307511,0.9999967480838083,3.2519161916159095e-06,1.0,1.0,0.001803307015351493,3.25191619161591e-06,307510.99999999994,-554.5367435977528,1.0,0.0,1.0,307510.0,6.3737557355671825e-06
FLAG_EMP_PHONE,307511,0.8198893698111612,0.000692975178606941,1.0,1.0,0.3842801989387643,0.14767127129641627,0.7718519498767713,-1.6648864615712877,1.0,0.0,1.0,252125.0,0.0013582313500696043
