calibration_bin,customer_count,observed_defaults,observed_default_rate,expected_defaults,mean_predicted_probability,min_predicted_probability,max_predicted_probability,model_id,model_label,calibration_gap,abs_calibration_gap,weighted_abs_gap
1,7688,634,0.08246618106139438,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,-0.0017361901234106553,0.0017361901234106553,0.0001736235290821967
2,7688,613,0.07973465140478668,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,0.00099533953319704,0.00099533953319704,9.953654271987881e-05
3,7688,637,0.08285639958376691,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,-0.002126408645783187,0.002126408645783187,0.00021264639648249358
4,7687,596,0.07753349811369845,620.5714403402809,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,0.003196492824285274,0.003196492824285274,0.0003196160194110266
5,7688,642,0.08350676378772112,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,-0.0027767728497374022,0.0027767728497374022,0.0002776845088163213
6,7688,604,0.0785639958376691,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,0.0021659951003146216,0.0021659951003146216,0.00021660514492076813
7,7687,628,0.08169637049564199,620.5714403402809,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,-0.0009663795576582701,0.0009663795576582701,9.662789952547052e-05
8,7688,620,0.08064516129032258,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,8.482964766114154e-05,8.482964766114154e-05,8.483185452520307e-06
9,7688,627,0.08155567117585848,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,-0.0008256802378747569,0.0008256802378747569,8.25701718148382e-05
10,7688,605,0.07869406867845993,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,spec::00_null_baseline,00_null_baseline,0.002035922259523787,0.002035922259523787,0.00020359752245400342
1,7688,290,0.037721123829344436,263.45710937200846,0.03426861464256093,0.013577059488013464,0.04188239017011385,spec::01_profile_only,01_profile_only,-0.0034525091867835048,0.0034525091867835048,0.00034525990046556344
2,7688,357,0.04643600416233091,368.73251794688935,0.04796208610131235,0.04188239017011385,0.05001431660462414,spec::01_profile_only,01_profile_only,0.0015260819389814398,0.0015260819389814398,0.0001526121640376871
3,7688,418,0.05437044745057232,418.5554407696333,0.054442695209369577,0.05001431660462414,0.05957238731797398,spec::01_profile_only,01_profile_only,7.224775879725864e-05,7.224775879725864e-05,7.224963834039965e-06
4,7687,452,0.05880057239495252,468.1960091182769,0.06090750736545816,0.05957238731797398,0.06349882326425106,spec::01_profile_only,01_profile_only,0.002106934970505646,0.002106934970505646,0.00021067157207883792
5,7688,480,0.062434963579604576,532.2394436950028,0.06922989642234688,0.06349882326425106,0.07405037812711666,spec::01_profile_only,01_profile_only,0.006794932842742303,0.006794932842742303,0.0006795109614584514
6,7688,592,0.07700312174817898,601.2287582161867,0.07820353254633022,0.07405037812711666,0.08273778170765395,spec::01_profile_only,01_profile_only,0.0012004107981512385,0.0012004107981512385,0.00012004420271321732
7,7687,666,0.08663978144919995,691.129523678419,0.0899088752020839,0.08273778170765395,0.0933768540390616,spec::01_profile_only,01_profile_only,0.0032690937528839503,0.0032690937528839503,0.00032687535677851826
