model_id,model_label,bins,ece_expected_calibration_error,mce_max_calibration_error,mean_calibration_gap
spec::00_null_baseline,00_null_baseline,10,0.0016909909206795177,0.003196492824285274,4.7147950517592576e-06
spec::01_profile_only,01_profile_only,10,0.003146455629328846,0.006794932842742303,-0.00015250329076487573
spec::02_affordability_only,02_affordability_only,10,0.004858045306044284,0.012623878942040853,8.959830334940438e-05
spec::03_credit_history_only,03_credit_history_only,10,0.0032848464072043025,0.006531846917849776,-0.00017129030223255736
spec::04_payment_behavior_only,04_payment_behavior_only,10,0.002184324668705161,0.0059483833718475265,-0.00018214528676457203
spec::05_full_controlled_main_effects,05_full_controlled_main_effects,10,0.0024043244283038865,0.00689862286798662,-0.0004248394088358965
spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,10,0.0023715354286919566,0.008143216938043957,-0.0004069042702548105
spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,10,0.37341022338125174,0.5325423784215612,0.3734103275551559
algorithm::null_baseline,Null baseline,10,0.0016909909206795177,0.003196492824285274,4.7147950517592576e-06
algorithm::linear_probability_model_ols,Linear Probability Model â€” LPM,10,0.011078809501917081,0.02448555173393735,0.00017196717147656553
algorithm::binary_logit_approx_unpenalized,Binary Logistic Regression / Logit,10,0.0023715354286919566,0.008143216938043957,-0.0004069042702548105
algorithm::ridge_logit_l2,Ridge Logistic Regression,10,0.002401238717180178,0.008143754890247434,-0.000403562857628691
algorithm::lasso_logit_l1,Lasso Logistic Regression,10,0.0022886219936617685,0.0062274087474541995,-0.00038055462837600364
algorithm::elastic_net_logit,Elastic Net Logistic Regression,10,0.002354325270587903,0.006591755645589087,-0.00038002744474410733
algorithm::weighted_logit_rare_event_proxy,Rare Events Logistic Regression proxy,10,0.3731801002822892,0.5325657287256776,0.3731802628761679
algorithm::probit_glm,Probit Model,10,0.1095037613491506,0.414867241805411,-0.0265294728088894
algorithm::cloglog_glm,Complementary Log-Log â€” Cloglog,10,0.2551566338094123,0.8760395827263268,0.1635262882229847
