model_spec,term,variable,level,reference_group,beta,std_error,z_value,p_value,significance,odds_ratio,ci_lower,ci_upper,direction,abs_log_odds
01_glm_profile_only,Intercept,Intercept,Intercept,,-2.2527857289608844,0.014700405667439069,-153.24650080580653,0.0,***,0.10510601947411273,0.10212088762902478,0.10817841076571988,Lower odds of default,2.2527857289608844
01_glm_profile_only,"C(DIAG_AGE_GROUP, Treatment(reference='3. 41-50'))[T.1. <=30]",DIAG_AGE_GROUP,1. <=30,3. 41-50,0.531847833652683,0.02051933431156086,25.919351260485723,4.0307186074145294e-148,***,1.7020745551924312,1.6349801725832476,1.7719222777216919,Higher odds of default,0.531847833652683
01_glm_profile_only,"C(DIAG_AGE_GROUP, Treatment(reference='3. 41-50'))[T.2. 31-40]",DIAG_AGE_GROUP,2. 31-40,3. 41-50,0.2848832227357567,0.01817400644365655,15.675312079312722,2.2312639635610644e-55,***,1.3296067512163177,1.283079213605215,1.3778214892225307,Higher odds of default,0.2848832227357567
01_glm_profile_only,"C(DIAG_AGE_GROUP, Treatment(reference='3. 41-50'))[T.4. 51-60]",DIAG_AGE_GROUP,4. 51-60,3. 41-50,-0.22264071444134304,0.022999265416802733,-9.680340237244572,3.6549759155767674e-22,***,0.8004023706532157,0.7651231740174022,0.8373082618625753,Lower odds of default,0.22264071444134304
01_glm_profile_only,"C(DIAG_AGE_GROUP, Treatment(reference='3. 41-50'))[T.5. 61+]",DIAG_AGE_GROUP,5. 61+,3. 41-50,-0.4099688863094934,0.035945872622589754,-11.40517273329048,3.939944500591319e-30,***,0.6636708990660373,0.6185226283025822,0.7121147102990855,Lower odds of default,0.4099688863094934
01_glm_profile_only,"C(DIAG_NAME_CONTRACT_TYPE, Treatment(reference='Cash loans'))[T.Revolving loans]",DIAG_NAME_CONTRACT_TYPE,Revolving loans,Cash loans,-0.4957948885712034,0.02681084008075547,-18.492329486052903,2.380454871269974e-76,***,0.6090865588757762,0.5779065107353162,0.641948878082545,Lower odds of default,0.4957948885712034
01_glm_profile_only,"C(DIAG_NAME_INCOME_TYPE, Treatment(reference='Working'))[T.Commercial associate]",DIAG_NAME_INCOME_TYPE,Commercial associate,Working,-0.20197917680535973,0.016738205244235412,-12.066955438661546,1.5786746747559927e-33,***,0.8171119426461104,0.7907404798594364,0.8443629026473858,Lower odds of default,0.20197917680535973
01_glm_profile_only,"C(DIAG_NAME_INCOME_TYPE, Treatment(reference='Working'))[T.Other rare]",DIAG_NAME_INCOME_TYPE,Other rare,Working,1.0764564644386978,0.34154877063683164,3.1516918138267656,0.0016232750485498189,**,2.9342634401886163,1.5023539454672952,5.730941075772589,Higher odds of default,1.0764564644386978
01_glm_profile_only,"C(DIAG_NAME_INCOME_TYPE, Treatment(reference='Working'))[T.Pensioner]",DIAG_NAME_INCOME_TYPE,Pensioner,Working,-0.22422898855598394,0.028509704366497256,-7.865005742377434,3.690805177473367e-15,***,0.7991321213057181,0.7557028902793703,0.8450571719614477,Lower odds of default,0.22422898855598394
01_glm_profile_only,"C(DIAG_NAME_INCOME_TYPE, Treatment(reference='Working'))[T.State servant]",DIAG_NAME_INCOME_TYPE,State servant,Working,-0.4303505845857742,0.030618747867412022,-14.05513335977408,7.16468204422769e-45,***,0.6502810762340199,0.6124045241468159,0.6905002517693661,Lower odds of default,0.4303505845857742
01_glm_profile_only,"C(DIAG_NAME_EDUCATION_TYPE, Treatment(reference='Secondary / secondary special'))[T.Academic degree]",DIAG_NAME_EDUCATION_TYPE,Academic degree,Secondary / secondary special,-1.632113807338684,0.5806695570656835,-2.8107445749115874,0.004942700726378699,**,0.19551585417144163,0.06264914618241137,0.610167122167747,Lower odds of default,1.632113807338684
01_glm_profile_only,"C(DIAG_NAME_EDUCATION_TYPE, Treatment(reference='Secondary / secondary special'))[T.Higher education]",DIAG_NAME_EDUCATION_TYPE,Higher education,Secondary / secondary special,-0.5959164868275564,0.018410474657496873,-32.36833910661261,7.659592794644798e-230,***,0.5510572976128554,0.5315274936677025,0.5713046810749288,Lower odds of default,0.5959164868275564
01_glm_profile_only,"C(DIAG_NAME_EDUCATION_TYPE, Treatment(reference='Secondary / secondary special'))[T.Incomplete higher]",DIAG_NAME_EDUCATION_TYPE,Incomplete higher,Secondary / secondary special,-0.28985344339348057,0.037027310760235035,-7.828098704504478,4.953030274180225e-15,***,0.7483732385841205,0.6959860660244649,0.8047036163065914,Lower odds of default,0.28985344339348057
01_glm_profile_only,"C(DIAG_NAME_EDUCATION_TYPE, Treatment(reference='Secondary / secondary special'))[T.Lower secondary]",DIAG_NAME_EDUCATION_TYPE,Lower secondary,Secondary / secondary special,0.28209577067141595,0.052975539160427985,5.325019341797236,1.0094229797202173e-07,***,1.3259056967851837,1.1951427351076538,1.4709756961448184,Higher odds of default,0.28209577067141595
02_glm_affordability_only,Intercept,Intercept,Intercept,,-2.6830714196518284,0.03209357014371058,-83.60152540329433,0.0,***,0.06835289100369868,0.06418577530662208,0.07279054722396548,Lower odds of default,2.6830714196518284
02_glm_affordability_only,"C(DIAG_CREDIT_INCOME_GROUP, Treatment(reference='1. <=1x'))[T.2. 1x-2x]",DIAG_CREDIT_INCOME_GROUP,2. 1x-2x,1. <=1x,0.14747665764810058,0.03691232988419911,3.9953223790197603,6.460627946920566e-05,***,1.1589062329169175,1.0780240914162185,1.2458568109820949,Higher odds of default,0.14747665764810058
02_glm_affordability_only,"C(DIAG_CREDIT_INCOME_GROUP, Treatment(reference='1. <=1x'))[T.3. 2x-4x]",DIAG_CREDIT_INCOME_GROUP,3. 2x-4x,1. <=1x,0.21516364608060037,0.03876042640618924,5.551116590560603,2.8385068854822118e-08,***,1.2400648121086673,1.1493477485528631,1.3379420981737593,Higher odds of default,0.21516364608060037
02_glm_affordability_only,"C(DIAG_CREDIT_INCOME_GROUP, Treatment(reference='1. <=1x'))[T.4. 4x-6x]",DIAG_CREDIT_INCOME_GROUP,4. 4x-6x,1. <=1x,0.04636117793751915,0.04154672734037313,1.1158803810876234,0.26447334069020834,,1.0474526594365068,0.9655388774014579,1.1363157915643696,Higher odds of default,0.04636117793751915
02_glm_affordability_only,"C(DIAG_CREDIT_INCOME_GROUP, Treatment(reference='1. <=1x'))[T.5. >6x]",DIAG_CREDIT_INCOME_GROUP,5. >6x,1. <=1x,-0.1764138982152261,0.04425607307215433,-3.9862076765736525,6.713775311888059e-05,***,0.8382709526731547,0.768623360658888,0.9142295512501513,Lower odds of default,0.1764138982152261
02_glm_affordability_only,"C(DIAG_ANNUITY_INCOME_GROUP, Treatment(reference='1. <=10%'))[T.2. 10-20%]",DIAG_ANNUITY_INCOME_GROUP,2. 10-20%,1. <=10%,0.09607651429057074,0.023022571697129807,4.173144319170411,3.0042450676362797e-05,***,1.100843291015094,1.0522735435828487,1.1516548703170257,Higher odds of default,0.09607651429057074
02_glm_affordability_only,"C(DIAG_ANNUITY_INCOME_GROUP, Treatment(reference='1. <=10%'))[T.3. 20-30%]",DIAG_ANNUITY_INCOME_GROUP,3. 20-30%,1. <=10%,0.31712332514647684,0.027716294784153904,11.441764767481985,2.5857167805557192e-30,***,1.373171908110245,1.3005670811013268,1.4498299369736425,Higher odds of default,0.31712332514647684
02_glm_affordability_only,"C(DIAG_ANNUITY_INCOME_GROUP, Treatment(reference='1. <=10%'))[T.4. 30-40%]",DIAG_ANNUITY_INCOME_GROUP,4. 30-40%,1. <=10%,0.3253979891605915,0.03574513858367612,9.103279552235177,8.764446636132885e-20,***,1.3845815848023455,1.2908989096852357,1.4850629670461335,Higher odds of default,0.3253979891605915
02_glm_affordability_only,"C(DIAG_ANNUITY_INCOME_GROUP, Treatment(reference='1. <=10%'))[T.5. 40-60%]",DIAG_ANNUITY_INCOME_GROUP,5. 40-60%,1. <=10%,0.40537123131203984,0.05196297366075296,7.801155375721157,6.1342927974344295e-15,***,1.499859191415246,1.354626369724801,1.6606627807856775,Higher odds of default,0.40537123131203984
02_glm_affordability_only,"C(DIAG_ANNUITY_INCOME_GROUP, Treatment(reference='1. <=10%'))[T.6. 60%+]",DIAG_ANNUITY_INCOME_GROUP,6. 60%+,1. <=10%,0.43377497282231403,0.12451439080182143,3.4837336474039806,0.0004944713119265062,***,1.5430715959989052,1.2089246570580452,1.9695767941180176,Higher odds of default,0.43377497282231403
02_glm_affordability_only,"C(DIAG_ANNUITY_INCOME_GROUP, Treatment(reference='1. <=10%'))[T.Other rare]",DIAG_ANNUITY_INCOME_GROUP,Other rare,1. <=10%,-20.015119644857915,0.28994907624007965,-69.02977551922004,0.0,***,2.0302241224118657e-09,1.1501086835073155e-09,3.583843897824821e-09,Lower odds of default,20.015119644857915
03_glm_credit_history_only,Intercept,Intercept,Intercept,,-2.9211884338026044,0.016488367258513294,-177.16662832666665,0.0,***,0.05386962875547877,0.05215657432561913,0.05563894753010425,Lower odds of default,2.9211884338026044
03_glm_credit_history_only,"C(DIAG_BUREAU_DEBT_CREDIT_GROUP, Treatment(reference='No bureau debt'))[T.25%-50%]",DIAG_BUREAU_DEBT_CREDIT_GROUP,25%-50%,No bureau debt,0.30434559233129893,0.021829986834090487,13.94162967867768,3.537690404637202e-44,***,1.3557375076242695,1.298954362599583,1.4150028996406379,Higher odds of default,0.30434559233129893
03_glm_credit_history_only,"C(DIAG_BUREAU_DEBT_CREDIT_GROUP, Treatment(reference='No bureau debt'))[T.50%-100%]",DIAG_BUREAU_DEBT_CREDIT_GROUP,50%-100%,No bureau debt,0.7142494976822331,0.02013256386595795,35.477324320821054,1.099826083539242e-275,***,2.0426530909694653,1.9636213530619084,2.1248656944685225,Higher odds of default,0.7142494976822331
03_glm_credit_history_only,"C(DIAG_BUREAU_DEBT_CREDIT_GROUP, Treatment(reference='No bureau debt'))[T.<=25%]",DIAG_BUREAU_DEBT_CREDIT_GROUP,<=25%,No bureau debt,0.06292158843242003,0.022502075695558687,2.79625707795655,0.005169825940856946,**,1.0649433320813326,1.0189965112058872,1.1129619072025918,Higher odds of default,0.06292158843242003
03_glm_credit_history_only,"C(DIAG_BUREAU_DEBT_CREDIT_GROUP, Treatment(reference='No bureau debt'))[T.>100%]",DIAG_BUREAU_DEBT_CREDIT_GROUP,>100%,No bureau debt,1.3006629709733466,0.06720494692567096,19.353679014312547,1.8979815216014445e-83,***,3.6717301113646266,3.218591029818872,4.188665750261653,Higher odds of default,1.3006629709733466
03_glm_credit_history_only,"C(DIAG_BUREAU_DEBT_CREDIT_GROUP, Treatment(reference='No bureau debt'))[T.No bureau history]",DIAG_BUREAU_DEBT_CREDIT_GROUP,No bureau history,No bureau debt,0.6215735340740429,0.022143605353054267,28.07011433611507,2.270045115844381e-173,***,1.8618554310306756,1.78277807705019,1.944440360066662,Higher odds of default,0.6215735340740429
03_glm_credit_history_only,"C(DIAG_PREVIOUS_REFUSAL_GROUP, Treatment(reference='0% refusal'))[T.25%-50% refusal]",DIAG_PREVIOUS_REFUSAL_GROUP,25%-50% refusal,0% refusal,0.5041878414639896,0.017971252239297353,28.055242603600703,3.447567685037454e-173,***,1.6556403318535087,1.5983387910925115,1.7149961721108846,Higher odds of default,0.5041878414639896
03_glm_credit_history_only,"C(DIAG_PREVIOUS_REFUSAL_GROUP, Treatment(reference='0% refusal'))[T.<=25% refusal]",DIAG_PREVIOUS_REFUSAL_GROUP,<=25% refusal,0% refusal,0.15971914621717945,0.019129529647294082,8.349350410702446,6.863941777521084e-17,***,1.1731813323027709,1.1300094065467898,1.21800263828752,Higher odds of default,0.15971914621717945
03_glm_credit_history_only,"C(DIAG_PREVIOUS_REFUSAL_GROUP, Treatment(reference='0% refusal'))[T.>50% refusal]",DIAG_PREVIOUS_REFUSAL_GROUP,>50% refusal,0% refusal,0.8918537251276705,0.02760518993673584,32.307465631338715,5.4946399687468614e-229,***,2.439647898814254,2.311157652028605,2.575281640767593,Higher odds of default,0.8918537251276705
03_glm_credit_history_only,"C(DIAG_PREVIOUS_REFUSAL_GROUP, Treatment(reference='0% refusal'))[T.No previous application]",DIAG_PREVIOUS_REFUSAL_GROUP,No previous application,0% refusal,-0.16515555742833296,0.034204452152995994,-4.828481295054652,1.375782540127236e-06,***,0.8477618181819904,0.7927914728533503,0.9065436813801079,Lower odds of default,0.16515555742833296
04_glm_payment_behavior_only,Intercept,Intercept,Intercept,,-2.612194033126855,0.011179245022201283,-233.6646193852269,0.0,***,0.07337338339831148,0.07178319015482773,0.07499880375480271,Lower odds of default,2.612194033126855
04_glm_payment_behavior_only,"C(DIAG_LATE_PAYMENT_GROUP, Treatment(reference='No late payment'))[T.Late 10%-30%]",DIAG_LATE_PAYMENT_GROUP,Late 10%-30%,No late payment,0.36478296759935563,0.017595929380938437,20.731099773253398,1.8159254038551968e-95,***,1.4402014038597233,1.3913793312276534,1.4907365929098646,Higher odds of default,0.36478296759935563
04_glm_payment_behavior_only,"C(DIAG_LATE_PAYMENT_GROUP, Treatment(reference='No late payment'))[T.Late <=10%]",DIAG_LATE_PAYMENT_GROUP,Late <=10%,No late payment,0.08514658860029245,0.018088468737520458,4.707230326449635,2.5110513769478652e-06,***,1.0888766719071867,1.0509492898895323,1.1281728034168974,Higher odds of default,0.08514658860029245
04_glm_payment_behavior_only,"C(DIAG_LATE_PAYMENT_GROUP, Treatment(reference='No late payment'))[T.Late >30%]",DIAG_LATE_PAYMENT_GROUP,Late >30%,No late payment,0.7326907443394954,0.02470682473161739,29.65539895549059,2.889287473518226e-193,***,2.080671637716134,1.9823167920930989,2.1839064680601363,Higher odds of default,0.7326907443394954
04_glm_payment_behavior_only,"C(DIAG_LATE_PAYMENT_GROUP, Treatment(reference='No late payment'))[T.No installment history]",DIAG_LATE_PAYMENT_GROUP,No installment history,No late payment,-0.13884984777789752,0.03527549208524761,-3.936156225470919,8.279708446413264e-05,***,0.8703587049408971,0.812216343194373,0.9326631772602869,Lower odds of default,0.13884984777789752
04_glm_payment_behavior_only,"C(DIAG_CC_UTILIZATION_GROUP, Treatment(reference='No credit card history'))[T.30%-70%]",DIAG_CC_UTILIZATION_GROUP,30%-70%,No credit card history,0.2096663702173911,0.024291355461348727,8.63131621251035,6.064995536842047e-18,***,1.2332665368657874,1.17592631285632,1.2934027705006108,Higher odds of default,0.2096663702173911
04_glm_payment_behavior_only,"C(DIAG_CC_UTILIZATION_GROUP, Treatment(reference='No credit card history'))[T.70%-100%]",DIAG_CC_UTILIZATION_GROUP,70%-100%,No credit card history,0.6856511924387667,0.02534561311249235,27.052065751797606,3.611606543654645e-161,***,1.9850640734588174,1.8888623253520485,2.086165477943175,Higher odds of default,0.6856511924387667
04_glm_payment_behavior_only,"C(DIAG_CC_UTILIZATION_GROUP, Treatment(reference='No credit card history'))[T.<=30%]",DIAG_CC_UTILIZATION_GROUP,<=30%,No credit card history,-0.1798038626165678,0.030796484360940034,-5.838454172535928,5.268737032386084e-09,***,0.8354340551924171,0.7864989725716095,0.887413823686463,Lower odds of default,0.1798038626165678
04_glm_payment_behavior_only,"C(DIAG_CC_UTILIZATION_GROUP, Treatment(reference='No credit card history'))[T.>100%]",DIAG_CC_UTILIZATION_GROUP,>100%,No credit card history,1.3165205455647024,0.07365085693146665,17.875155842242904,1.8415998643432526e-71,***,3.7304189469464144,3.228983941487938,4.309722740003529,Higher odds of default,1.3165205455647024
04_glm_payment_behavior_only,"C(DIAG_CC_UTILIZATION_GROUP, Treatment(reference='No credit card history'))[T.Unknown]",DIAG_CC_UTILIZATION_GROUP,Unknown,No credit card history,0.46823386664695527,0.10532088259678161,4.445783733503041,8.757201351613645e-06,***,1.5971708840121963,1.2992780056756985,1.9633633614921844,Higher odds of default,0.46823386664695527
04_glm_payment_behavior_only,"C(DIAG_CC_UTILIZATION_GROUP, Treatment(reference='No credit card history'))[T.Zero/no utilization]",DIAG_CC_UTILIZATION_GROUP,Zero/no utilization,No credit card history,-0.3952392833952095,0.028373192131796208,-13.930025270307443,4.1620821245052375e-44,***,0.6735188580865482,0.6370865775655176,0.7120345462804184,Lower odds of default,0.3952392833952095
05_glm_controlled_core,Intercept,Intercept,Intercept,,-3.1415019034148757,0.0399936476453301,-78.55002202535273,0.0,***,0.04321784011236509,0.03995953298188447,0.04674183016164644,Lower odds of default,3.1415019034148757
05_glm_controlled_core,"C(DIAG_AGE_GROUP, Treatment(reference='3. 41-50'))[T.1. <=30]",DIAG_AGE_GROUP,1. <=30,3. 41-50,0.4328603232569281,0.02111331970401878,20.501765204385933,2.076238657553107e-93,***,1.5416608714918931,1.4791668307203807,1.606795253468224,Higher odds of default,0.4328603232569281
05_glm_controlled_core,"C(DIAG_AGE_GROUP, Treatment(reference='3. 41-50'))[T.2. 31-40]",DIAG_AGE_GROUP,2. 31-40,3. 41-50,0.2470767082015366,0.018405580498080516,13.424010626956525,4.3738671792251696e-41,***,1.280277316782134,1.2349153599905542,1.3273055473853674,Higher odds of default,0.2470767082015366
05_glm_controlled_core,"C(DIAG_AGE_GROUP, Treatment(reference='3. 41-50'))[T.4. 51-60]",DIAG_AGE_GROUP,4. 51-60,3. 41-50,-0.20310278426613126,0.023154939548190454,-8.771466832959348,1.763536562194067e-18,***,0.8161943451772871,0.7799810676436653,0.854088947455994,Lower odds of default,0.20310278426613126
05_glm_controlled_core,"C(DIAG_AGE_GROUP, Treatment(reference='3. 41-50'))[T.5. 61+]",DIAG_AGE_GROUP,5. 61+,3. 41-50,-0.34400023767079796,0.03622135603740856,-9.49716618327383,2.1567967717676537e-21,***,0.7089287595578267,0.6603450411315219,0.7610869391356561,Lower odds of default,0.34400023767079796
05_glm_controlled_core,"C(DIAG_NAME_CONTRACT_TYPE, Treatment(reference='Cash loans'))[T.Revolving loans]",DIAG_NAME_CONTRACT_TYPE,Revolving loans,Cash loans,-0.3734992392684686,0.028295190277697422,-13.200096398109922,8.76228531819763e-40,***,0.6883215099240196,0.651188064359231,0.7275724586418644,Lower odds of default,0.3734992392684686
05_glm_controlled_core,"C(DIAG_NAME_INCOME_TYPE, Treatment(reference='Working'))[T.Commercial associate]",DIAG_NAME_INCOME_TYPE,Commercial associate,Working,-0.1985862299440491,0.016987268449451757,-11.690297974331372,1.4288442435664895e-31,***,0.8198890687036116,0.7930407557332263,0.8476463285397721,Lower odds of default,0.1985862299440491
05_glm_controlled_core,"C(DIAG_NAME_INCOME_TYPE, Treatment(reference='Working'))[T.Other rare]",DIAG_NAME_INCOME_TYPE,Other rare,Working,0.8078001323778315,0.32846028926228926,2.459354018691646,0.013918729041925452,*,2.2429683219752796,1.1782494205962153,4.2698148672450635,Higher odds of default,0.8078001323778315
05_glm_controlled_core,"C(DIAG_NAME_INCOME_TYPE, Treatment(reference='Working'))[T.Pensioner]",DIAG_NAME_INCOME_TYPE,Pensioner,Working,-0.22612830019443328,0.02865231624619449,-7.892147296275461,2.9703085346833404e-15,***,0.7976157608434417,0.7540581378003868,0.8436894584834703,Lower odds of default,0.22612830019443328
05_glm_controlled_core,"C(DIAG_NAME_INCOME_TYPE, Treatment(reference='Working'))[T.State servant]",DIAG_NAME_INCOME_TYPE,State servant,Working,-0.420261625813347,0.030911162203962655,-13.595788571141837,4.241641750751638e-42,***,0.6568749418912468,0.6182598810291147,0.6979018088096027,Lower odds of default,0.420261625813347
05_glm_controlled_core,"C(DIAG_NAME_EDUCATION_TYPE, Treatment(reference='Secondary / secondary special'))[T.Academic degree]",DIAG_NAME_EDUCATION_TYPE,Academic degree,Secondary / secondary special,-1.6603355788765939,0.5904757020968749,-2.8118609673191854,0.0049255788824460155,**,0.1900751841810617,0.05974637922613483,0.6046989978207888,Lower odds of default,1.6603355788765939
05_glm_controlled_core,"C(DIAG_NAME_EDUCATION_TYPE, Treatment(reference='Secondary / secondary special'))[T.Higher education]",DIAG_NAME_EDUCATION_TYPE,Higher education,Secondary / secondary special,-0.5535769806117775,0.018665858709753597,-29.657193339972793,2.7393885976561394e-193,***,0.5748897586737877,0.5542378282839361,0.5963112183289871,Lower odds of default,0.5535769806117775
05_glm_controlled_core,"C(DIAG_NAME_EDUCATION_TYPE, Treatment(reference='Secondary / secondary special'))[T.Incomplete higher]",DIAG_NAME_EDUCATION_TYPE,Incomplete higher,Secondary / secondary special,-0.3064816891337179,0.03737070823353807,-8.201120707117564,2.381562464064543e-16,***,0.7360319954394173,0.6840481758242757,0.7919662933940755,Lower odds of default,0.3064816891337179
05_glm_controlled_core,"C(DIAG_NAME_EDUCATION_TYPE, Treatment(reference='Secondary / secondary special'))[T.Lower secondary]",DIAG_NAME_EDUCATION_TYPE,Lower secondary,Secondary / secondary special,0.2539500678453944,0.05398875334012925,4.703758692954225,2.5541510651536254e-06,***,1.2891074347490281,1.1596683461282624,1.432994169301419,Higher odds of default,0.2539500678453944
05_glm_controlled_core,"C(DIAG_CREDIT_INCOME_GROUP, Treatment(reference='1. <=1x'))[T.2. 1x-2x]",DIAG_CREDIT_INCOME_GROUP,2. 1x-2x,1. <=1x,0.20731988255356118,0.03765391179749189,5.505932123827057,3.6722000771458315e-08,***,1.23037608468225,1.1428436331414573,1.3246128042878524,Higher odds of default,0.20731988255356118
05_glm_controlled_core,"C(DIAG_CREDIT_INCOME_GROUP, Treatment(reference='1. <=1x'))[T.3. 2x-4x]",DIAG_CREDIT_INCOME_GROUP,3. 2x-4x,1. <=1x,0.35279565570855836,0.03942169267057235,8.949277207772322,3.578175462248927e-19,***,1.4230403235543132,1.3172293559001682,1.5373509202409856,Higher odds of default,0.35279565570855836
05_glm_controlled_core,"C(DIAG_CREDIT_INCOME_GROUP, Treatment(reference='1. <=1x'))[T.4. 4x-6x]",DIAG_CREDIT_INCOME_GROUP,4. 4x-6x,1. <=1x,0.24927330071788442,0.04246796587984021,5.869678369413401,4.366413658120353e-09,***,1.283092655298781,1.1806175122911238,1.3944624274518764,Higher odds of default,0.24927330071788442
05_glm_controlled_core,"C(DIAG_CREDIT_INCOME_GROUP, Treatment(reference='1. <=1x'))[T.5. >6x]",DIAG_CREDIT_INCOME_GROUP,5. >6x,1. <=1x,0.12425403621709091,0.04547219274497525,2.7325279190725014,0.0062850344477178325,**,1.1323034805588061,1.0357545305497555,1.2378523426830395,Higher odds of default,0.12425403621709091
05_glm_controlled_core,"C(DIAG_ANNUITY_INCOME_GROUP, Treatment(reference='1. <=10%'))[T.2. 10-20%]",DIAG_ANNUITY_INCOME_GROUP,2. 10-20%,1. <=10%,-0.032666238013994875,0.023595828060241335,-1.3844073592414865,0.1662337568162474,,0.9678615410766901,0.9241201242437935,1.0136733722381512,Lower odds of default,0.032666238013994875
05_glm_controlled_core,"C(DIAG_ANNUITY_INCOME_GROUP, Treatment(reference='1. <=10%'))[T.3. 20-30%]",DIAG_ANNUITY_INCOME_GROUP,3. 20-30%,1. <=10%,0.12002265037429044,0.028815154784570345,4.165261344997494,3.1099610056974286e-05,***,1.1275223900943026,1.0656084864547148,1.193033610677795,Higher odds of default,0.12002265037429044
05_glm_controlled_core,"C(DIAG_ANNUITY_INCOME_GROUP, Treatment(reference='1. <=10%'))[T.4. 30-40%]",DIAG_ANNUITY_INCOME_GROUP,4. 30-40%,1. <=10%,0.13444142396201392,0.037203353674424136,3.6136909897571194,0.0003018688063502057,***,1.143897652047595,1.063456221921316,1.230423793088509,Higher odds of default,0.13444142396201392
05_glm_controlled_core,"C(DIAG_ANNUITY_INCOME_GROUP, Treatment(reference='1. <=10%'))[T.5. 40-60%]",DIAG_ANNUITY_INCOME_GROUP,5. 40-60%,1. <=10%,0.24125131090301663,0.05340083760907258,4.517743947559898,6.25020005346161e-06,***,1.2728408739065002,1.146355285440474,1.4132825231965926,Higher odds of default,0.24125131090301663
