model,term,coef_log_odds,odds_ratio,ci95_low_or,ci95_high_or,p_value,interpretation_note,abs_log_or
M5_full_plus_high_burden_late_interaction,D7_INCOME_TYPE_GROUP_Other/rare income type,1.0626594700859795,2.894057422960821,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,1.0626594700859795
M5_full_plus_high_burden_late_interaction,D7_BUREAU_OVERDUE_GROUP_>=2 overdue loans,0.9626256332630607,2.6185628408934702,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.9626256332630607
M5_full_plus_high_burden_late_interaction,D7_BUREAU_DEBT_CREDIT_GROUP_>100%,0.8992988069225745,2.45787905899955,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.8992988069225745
M5_full_plus_high_burden_late_interaction,D7_CC_UTILIZATION_GROUP_>100%,0.7820950837775672,2.1860474236491627,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.7820950837775672
M5_full_plus_high_burden_late_interaction,D7_PREV_REFUSAL_GROUP_>50% refusal,0.7241423750989504,2.0629610942701535,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.7241423750989504
M5_full_plus_high_burden_late_interaction,D7_OCCUPATION_GROUP_Security staff,0.71607367581171,2.0463826547242214,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.71607367581171
M5_full_plus_high_burden_late_interaction,D7_EDUCATION_GROUP_Lower secondary,0.6974304543744171,2.008584920285854,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.6974304543744171
M5_full_plus_high_burden_late_interaction,D7_OCCUPATION_GROUP_Drivers,0.6910030638666613,1.9957163605659165,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.6910030638666613
M5_full_plus_high_burden_late_interaction,D7_UNDERPAYMENT_GROUP_Underpay <=10%,-0.6463785466852748,0.5239397686012567,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.6463785466852748
M5_full_plus_high_burden_late_interaction,D7_AGE_GROUP_61+,-0.5856277565555593,0.556756244703978,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.5856277565555593
M5_full_plus_high_burden_late_interaction,D7_OCCUPATION_GROUP_Laborers,0.5775396802098556,1.78164960622272,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.5775396802098556
M5_full_plus_high_burden_late_interaction,D7_UNDERPAYMENT_GROUP_No underpayment,-0.5757288696469265,0.5622948797403483,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.5757288696469265
M5_full_plus_high_burden_late_interaction,D7_OCCUPATION_GROUP_Cooking staff,0.5667586755214359,1.762544802997165,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.5667586755214359
M5_full_plus_high_burden_late_interaction,D7_OCCUPATION_GROUP_Other/rare occupation,0.5315121649969873,1.701503317993171,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.5315121649969873
M5_full_plus_high_burden_late_interaction,D7_BUREAU_OVERDUE_GROUP_No overdue bureau,-0.511488899384354,0.5996021665801708,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.511488899384354
M5_full_plus_high_burden_late_interaction,D7_AGE_GROUP_51-60,-0.4634023184089544,0.6291394671955922,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.4634023184089544
M5_full_plus_high_burden_late_interaction,D7_OCCUPATION_GROUP_Sales staff,0.4616498027339538,1.5866895515768953,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.4616498027339538
M5_full_plus_high_burden_late_interaction,D7_EDUCATION_GROUP_Secondary,0.4560666685033415,1.577855534526993,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.4560666685033415
M5_full_plus_high_burden_late_interaction,D7_UNDERPAYMENT_GROUP_Underpay 10-30%,-0.4553997806166109,0.6341943786418164,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.4553997806166109
M5_full_plus_high_burden_late_interaction,D7_CC_UTILIZATION_GROUP_<=30%,-0.45253520541818565,0.6360136806494918,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.45253520541818565
M5_full_plus_high_burden_late_interaction,D7_BUREAU_ACTIVE_GROUP_>3 active,0.4405353427668303,1.5535386716261195,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.4405353427668303
M5_full_plus_high_burden_late_interaction,D7_PREV_REFUSAL_GROUP_25-50% refusal,0.3806670203977644,1.4632602884521118,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.3806670203977644
M5_full_plus_high_burden_late_interaction,D7_OCCUPATION_GROUP_Unknown,0.3752549282492461,1.4553623803150069,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.3752549282492461
M5_full_plus_high_burden_late_interaction,D7_BUREAU_DEBT_CREDIT_GROUP_50-100%,0.3706639199057757,1.4486961136361154,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.3706639199057757
M5_full_plus_high_burden_late_interaction,D7_UNDERPAYMENT_GROUP_Underpay >30%,-0.3697839392939442,0.6908835873081993,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.3697839392939442
M5_full_plus_high_burden_late_interaction,D7_ANNUITY_INCOME_GROUP_60%+,0.3645335994466951,1.4398423082715464,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.3645335994466951
M5_full_plus_high_burden_late_interaction,D7_CC_UTILIZATION_GROUP_70-100%,0.342106958309576,1.4079108772285451,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.342106958309576
M5_full_plus_high_burden_late_interaction,D7_CONTRACT_TYPE_Revolving loans,-0.3310883859235438,0.7181416926186631,,,,OR > 1 increases odds of TARGET=1 vs reference; OR < 1 decreases odds.,0.3310883859235438
