term,coef_log_odds,odds_ratio,ci95_low_or,ci95_high_or,p_value,abs_log_or,significance
D7_EDUCATION_GROUP_Secondary,0.6065360038368505,1.8340671806551332,1.769108985141804,1.9014105130932006,2.416069219989823e-238,0.6065360038368505,p<0.001
D7_AGE_GROUP_<=30,0.9027638953908153,2.4664106001191937,2.3269158712546303,2.6142678055225015,7.164359792522896e-203,0.9027638953908153,p<0.001
D7_CC_UTILIZATION_GROUP_70-100%,0.7997348404650454,2.224950883326354,2.0917328743575183,2.3666532633786974,3.499139951867568e-142,0.7997348404650454,p<0.001
D7_AGE_GROUP_31-40,0.704870358732761,2.0235843278799344,1.9158862448145526,2.1373364640642576,8.594184038612372e-141,0.704870358732761,p<0.001
D7_BUREAU_ACTIVE_GROUP_No bureau history,0.5495703773899492,1.7325085331171726,1.6466443795212045,1.822850066871506,1.165279698809619e-99,0.5495703773899492,p<0.001
D7_BUREAU_DEBT_CREDIT_GROUP_50-100%,0.5190320631084215,1.6804003407773098,1.5894190303853575,1.7765895911035348,1.294486005311479e-74,0.5190320631084215,p<0.001
D7_CC_UTILIZATION_GROUP_>100%,1.2528115224934104,3.500169943118824,3.0058008688357494,4.075848722293351,1.6752322791022423e-58,1.2528115224934104,p<0.001
D7_AGE_GROUP_41-50,0.4539855696911571,1.5745752757035534,1.4886047710838404,1.6655107836660856,1.4557704999893808e-56,0.4539855696911571,p<0.001
D7_EDUCATION_GROUP_Lower secondary,0.8708936796224034,2.3890449405675818,2.14159484620143,2.6650866003787215,6.154499193744825e-55,0.8708936796224034,p<0.001
D7_CC_UTILIZATION_GROUP_30-70%,0.4520312301028747,1.5715010259500075,1.48078798331305,1.6677711477888393,3.248291342892475e-50,0.4520312301028747,p<0.001
D7_BUREAU_DEBT_CREDIT_GROUP_>100%,1.0509160373588387,2.8602700325744697,2.489994149927604,3.285607984051458,6.235079144523852e-50,1.0509160373588387,p<0.001
D7_CONTRACT_TYPE_Cash loans,0.34175161058116393,1.4074106681758543,1.330692644157028,1.4885516934303127,6.493606183320132e-33,0.34175161058116393,p<0.001
D7_CC_UTILIZATION_GROUP_No credit card history,0.25725414968981525,1.2933737955410018,1.2377032663694996,1.3515483237746753,2.091424994963201e-30,0.25725414968981525,p<0.001
