transformed_feature,coef,abs_coef
cat__CODE_GENDER_F,-0.41530998796017865,0.41530998796017865
num__EXT_SOURCE_2,-0.36993515344301586,0.36993515344301586
cat__NAME_CONTRACT_TYPE_Cash loans,-0.3687783701047609,0.3687783701047609
num__EXT_SOURCE_3,-0.35658513161169836,0.35658513161169836
num__POS_CNT_INSTALMENT_MEAN,-0.32458982081940974,0.32458982081940974
num__POS_CNT_INSTALMENT_FUTURE_MEAN,0.29613909208305816,0.29613909208305816
cat__NAME_EDUCATION_TYPE_Higher education,-0.2772176245590203,0.2772176245590203
cat__FLAG_OWN_CAR_N,-0.2497619888053869,0.2497619888053869
cat__FLAG_OWN_REALTY_N,-0.246854196766931,0.246854196766931
cat__NAME_FAMILY_STATUS_Married,-0.23392645671885284,0.23392645671885284
cat__HOUSETYPE_MODE_Missing,-0.23332729716438336,0.23332729716438336
num__POS_CNT_INSTALMENT_MAX,0.22496824201415938,0.22496824201415938
cat__FLAG_OWN_REALTY_Y,-0.22338725165402984,0.22338725165402984
cat__FLAG_OWN_CAR_Y,-0.22047945961603008,0.22047945961603008
cat__EMERGENCYSTATE_MODE_No,-0.21783539509388497,0.21783539509388497
cat__NAME_INCOME_TYPE_State servant,-0.2009398970847559,0.2009398970847559
cat__WALLSMATERIAL_MODE_Missing,-0.20027091355381427,0.20027091355381427
num__BUREAU_DEBT_TO_CREDIT_SUM_RATIO,0.1987165258409026,0.1987165258409026
num__FLAG_DOCUMENT_3,0.18701497128549263,0.18701497128549263
cat__NAME_EDUCATION_TYPE_Incomplete higher,-0.1805398537276573,0.1805398537276573
num__HAS_BUREAU_HISTORY,-0.1799659798702221,0.1799659798702221
cat__EMERGENCYSTATE_MODE_Missing,-0.1755217773939515,0.1755217773939515
num__PREV_AMT_ANNUITY_MEAN,-0.16984275051461944,0.16984275051461944
cat__ORGANIZATION_TYPE_Construction,0.1674479945690307,0.1674479945690307
cat__FONDKAPREMONT_MODE_Missing,-0.16187652396818808,0.16187652396818808
cat__OCCUPATION_TYPE_Core staff,-0.1608862378085799,0.1608862378085799
num__CC_PAYMENT_CURRENT_SUM,-0.16037685731340143,0.16037685731340143
cat__OCCUPATION_TYPE_Accountants,-0.15994621622157668,0.15994621622157668
num__POS_MONTHS_BALANCE_RECENT,-0.1581754943293691,0.1581754943293691
cat__HOUSETYPE_MODE_block of flats,-0.15711241802990114,0.15711241802990114
cat__NAME_HOUSING_TYPE_Office apartment,-0.14985787573709952,0.14985787573709952
cat__ORGANIZATION_TYPE_Military,-0.14855778043100587,0.14855778043100587
