notebook,cell,output,table,rows,cols,file,columns
v3_advanced,3,2,1,9,3,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell03_out02_table01.csv,table|path|available
v3_advanced,3,3,1,2,5,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell03_out03_table01.csv,dataset|rows|columns|default_rate|duplicate_ids
v3_advanced,6,2,1,4,3,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell06_out02_table01.csv,split|rows|default_rate
v3_advanced,9,4,1,4,21,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell09_out04_table01.csv,model_name|runtime_seconds|n|event_rate|roc_auc|gini|pr_auc|log_loss|brier_score|ks|...|lift_at_top_5pct|precision_at_top_10pct|recall_at_top_10pct|lift_at_top_10pct|precision_at_top_20pct
v3_advanced,10,2,1,3,2,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell10_out02_table01.csv,model|weight
v3_advanced,10,4,1,3,21,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell10_out04_table01.csv,model_name|runtime_seconds|n|event_rate|roc_auc|gini|pr_auc|log_loss|brier_score|ks|...|lift_at_top_5pct|precision_at_top_10pct|recall_at_top_10pct|lift_at_top_10pct|precision_at_top_20pct
v3_advanced,11,12,1,5,4,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell11_out12_table01.csv,fold|lgb_auc|cat_auc|xgb_auc
v3_advanced,11,13,1,3,2,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell11_out13_table01.csv,model|weight
v3_advanced,11,14,1,4,21,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell11_out14_table01.csv,model_name|runtime_seconds|n|event_rate|roc_auc|gini|pr_auc|log_loss|brier_score|ks|...|lift_at_top_5pct|precision_at_top_10pct|recall_at_top_10pct|lift_at_top_10pct|precision_at_top_20pct
v3_advanced,12,1,1,3,6,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell12_out01_table01.csv,decision|customers|customer_share|default_rate|avg_score|defaults
v3_advanced,13,1,1,2,2,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell13_out01_table01.csv,psi_type|psi
v3_advanced,13,2,1,30,3,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell13_out02_table01.csv,feature|psi_fit_vs_validation|psi_fit_vs_test
v3_advanced,14,1,1,5,9,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell14_out01_table01.csv,period_col|period_bin|rows|default_rate|roc_auc|pr_auc|ks|brier_score|ece
v3_advanced,15,2,1,50,8,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell15_out02_table01.csv,feature|group|rows|default_rate|mean_score|high_risk_flag_rate|roc_auc|recall_high_risk_among_defaults
v3_advanced,15,3,1,7,5,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell15_out03_table01.csv,feature|demographic_parity_gap_high_risk_rate|equal_opportunity_gap_recall|min_group_rows|groups
v3_advanced,16,1,1,7,21,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell16_out01_table01.csv,model_name|runtime_seconds|n|event_rate|roc_auc|gini|pr_auc|log_loss|brier_score|ks|...|lift_at_top_5pct|precision_at_top_10pct|recall_at_top_10pct|lift_at_top_10pct|precision_at_top_20pct
v3_advanced,16,6,1,40,3,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell16_out06_table01.csv,feature|gain|split
v3_advanced,16,9,1,40,2,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell16_out09_table01.csv,feature|mean_abs_shap
v3_advanced,16,12,1,8,4,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell16_out12_table01.csv,feature|value|shap_value|abs_shap
v3_advanced,16,14,1,5,2,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\v3_advanced_cell16_out14_table01.csv,SK_ID_CURR|TARGET
raw_benchmark,3,2,1,9,3,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\raw_benchmark_cell03_out02_table01.csv,table|path|available
raw_benchmark,3,3,1,2,5,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\raw_benchmark_cell03_out03_table01.csv,dataset|rows|columns|default_rate|duplicate_ids
raw_benchmark,6,2,1,4,3,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\raw_benchmark_cell06_out02_table01.csv,split|rows|default_rate
raw_benchmark,11,4,1,16,21,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\raw_benchmark_cell11_out04_table01.csv,model_name|runtime_seconds|n|event_rate|roc_auc|gini|pr_auc|log_loss|brier_score|ks|...|precision_at_top_30pct|recall_at_top_30pct|lift_at_top_30pct|status|model_group
raw_benchmark,13,1,1,5,3,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\raw_benchmark_cell13_out01_table01.csv,model_family|run_status|reason
raw_benchmark,14,1,1,18,8,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\raw_benchmark_cell14_out01_table01.csv,model_name|model_group|roc_auc|pr_auc_average_precision|log_loss|brier_score|lift_at_top_10pct|runtime_seconds
raw_benchmark,14,2,1,18,3,D:\Code\DA\1\step8_outputs\from_kaggle_notebooks\extracted_tables\raw_benchmark_cell14_out02_table01.csv,model_name|cal_roc_auc|cal_pr_auc
