feature,gain,split
V3_EXT_SOURCE_MEAN,80303.373916,510
V3_EXT_SOURCE_MAX,47830.860951,368
V3_EXT_SOURCE_2_x_EXT_SOURCE_3,46577.462127,521
EXT_SOURCE_3,37337.711571,478
V3_EXT_SOURCE_MIN,36014.172726,428
EXT_SOURCE_2,31564.736498,509
V3_ANNUITY_CREDIT_RATIO,25359.594652,1297
ORGANIZATION_TYPE,23134.415421,1565
V3_EXT_SOURCE_1_x_EXT_SOURCE_2,21883.250288,429
V3_EXT_SOURCE_1_x_EXT_SOURCE_3,14711.895064,352
V3_BUR_ALL_BUR_DEBT_CREDIT_RATIO_max,14084.858141,342
V3_BUR_RECENT3_BUR_DEBT_CREDIT_RATIO_max,13735.499925,313
V3_EXT_MIN_X_ANNUITY_BURDEN,12224.946116,321
EXT_SOURCE_1,12194.234378,481
BUREAU_DEBT_CREDIT_RATIO_MAX,11601.854964,297
APP_GOODS_CREDIT_RATIO,11562.783695,318
OCCUPATION_TYPE,10612.916175,677
V3_TE_OCCUPATION_TYPE,9974.105709,350
V3_EXT_MEAN_X_CREDIT_BURDEN,9704.105567,354
BUREAU_DEBT_CREDIT_RATIO_MEAN,9516.916202,257
V3_GOODS_CREDIT_RATIO,8895.147539,355
APP_AGE_YEARS,8530.267163,591
V3_EMPLOYED_AGE_RATIO,8413.857758,460
AMT_GOODS_PRICE,8139.103306,558
DAYS_EMPLOYED,8019.701935,394
AMT_ANNUITY,7939.934446,486
DAYS_BIRTH,7810.034286,491
APP_EMPLOYED_YEARS,7659.899408,363
V3_EMPLOYED_YEARS,7356.741797,334
V3_INST_LATE_RECENCY_WEIGHTED,7203.799707,298
V3_AGE_YEARS,6826.461336,474
V3_BUR_ALL_DAYS_CREDIT_mean,6822.644902,271
V3_BUR_RECENT3_BUR_DEBT_CREDIT_RATIO_mean,6738.997645,275
V3_FREQ_CODE_GENDER,6115.54732,180
V3_BUR_RECENT3_BUR_DEBT_CREDIT_RATIO_std,6074.386062,441
V3_POS_RECENT3_CNT_INSTALMENT_FUTURE_max,6070.517803,360
OWN_CAR_AGE,6062.068789,319
V3_POS_RECENT3_CNT_INSTALMENT_FUTURE_mean,5968.470719,372
PREV_CREDIT_APPLICATION_RATIO_MEAN,5879.905071,297
V3_CC_RECENT3_CC_UTILIZATION_max,5758.22577,165
